# freq[GHz], person, starttime, 300K_temp_before, 300K_temp_before2, 300K_temp_after, 300K_temp_after2, endtime
15.5, tajima, 2023-03-15-10:04:23, 16.7, 16.7, 18.3, 18.1, 2023-03-15-10:53:29
15.6, tajima, 2023-03-15-10:53:42, 17.2, 16.0, 18.5, 17.9, 2023-03-15-11:41:35
15.7, tajima, 2023-03-15-11:41:47, 17.4, 16.1, 18.9, 18.2, 2023-03-15-12:29:56
15.8, tajima, 2023-03-15-12:30:06, 17.6, 16.3, 18.9, 18.2, 2023-03-15-13:18:06
15.9, tajima, 2023-03-15-13:18:21, 17.9, 16.6, 18.9, 18.6, 2023-03-15-14:05:18
16.0, tajima, 2023-03-15-14:05:27, 18.1, 19.9, 19.1, 18.8, 2023-03-15-14:52:20
16.1, tajima, 2023-03-15-14:52:32, 18.8, 16.9, 19.7, 19.3, 2023-03-15-15:39:59
16.2, tajima, 2023-03-15-15:40:09, 18.7, 17.0, 19.8, 19.4, 2023-03-15-16:27:29
16.3, nakata, 2023-03-16-09:22:52, 18.6, 17.9, 19.1, 19.4, 2023-03-16-10:13:10
16.4, nakata, 2023-03-16-10:13:41, 19.1, 17.7, 19.8, 19.1, 2023-03-16-11:00:47
16.5, nakata, 2023-03-16-11:01:25, 19.4, 17.4, 20.1, 19.3, 2023-03-16-11:47:42
16.6, nakata, 2023-03-16-11:48:09, 19.3, 17.6, 19.8, 19.4, 2023-03-16-12:34:17
16.7, nakata, 2023-03-16-12:34:48, 19.4, 17.7, 19.7, 19.8, 2023-03-16-13:21:18
16.8, nakata, 2023-03-16-13:21:49, 19.3, 17.8, 20.1, 19.7, 2023-03-16-14:08:24
16.9, nakata, 2023-03-16-14:08:54, 19.1, 18.0, 20.4, 19.9, 2023-03-16-14:55:05
17.0, nakata, 2023-03-16-14:55:38, 19.3, 19.9, 20.2, 19.9, 2023-03-16-15:44:23
17.1, nakata, 2023-03-16-15:44:35, 19.4, 18.4, 18.9, 20.1, 2023-03-16-16:32:20
17.2, fujinaka, 2023-03-17-09:54:52, 18.8, 18.4, 19.4, 19.6, 2023-03-17-10:51:03
17.3, fujinaka, 2023-03-17-10:51:30, 18.4, 17.8, 20.1, 19.6, 2023-03-17-11:45:52
17.4, fujinaka, 2023-03-17-11:46:12, 18.8, 18.2, 20.0, 20.4, 2023-03-17-12:33:10
17.5, fujinaka, 2023-03-17-12:33:35, 19.1, 17.9, 20.2, 19.4, 2023-03-17-13:18:57
17.6, fujinaka, 2023-03-17-13:19:01, 19.8, 18.2, 20.3, 19.3, 2023-03-17-14:07:43
17.7, fujinaka, 2023-03-17-14:07:50, 19.4, 17.8, 19.7, 19.6, 2023-03-17-14:55:51
17.8, fujinaka, 2023-03-17-14:56:01, 19.3, 17.7, 19.9, 19.5, 2023-03-17-15:40:25
17.9, fujinaka, 2023-03-17-15:40:33, 19.7, 17.9, 20.3, 19.8, 2023-03-17-16:33:05
